ObjectId,ogcfid,typ_opatreni,rok_realizace,delka,datum_exportu,GlobalID,SHAPE_Length
344,308,Přejezd pro cyklisty,0,21.24,2022/12/16 00:00:00+00,{47D3D1CD-E1DF-42BF-A8D3-86B54FE5763E},0.000191619392086559
345,306,Stezka pro chodce a cyklisty (nedělená) - C9,1995,994.98999,2022/12/16 00:00:00+00,{36F34C9F-8768-4C6C-BDCD-F064129BE11E},0.00972840266259573
346,257,Stezka pro chodce a cyklisty (nedělená) - C9,2017,367.17999,2022/12/16 00:00:00+00,{70A8EC8A-EEE5-46D4-8E94-894719259CAF},0.00372685780390922
347,305,Vyhrazený jízdní pruh pro cyklisty - V14,2001,746.52002,2022/12/16 00:00:00+00,{73031D8C-7624-4C63-ACF2-F5B15352588B},0.00980689012267492
348,303,Vyhrazený jízdní pruh pro cyklisty - V14,2017,57.110001,2022/12/16 00:00:00+00,{058DB125-5FE1-4F06-8F4C-8173A0CDBD86},0.000764652283667084
349,302,"Vyhrazený pruh pro taxi, cyklo, bus",2014,69.93,2022/12/16 00:00:00+00,{130E710B-88D1-463E-8ECB-509EA2D141B0},0.000646929199451564
350,275,Piktogramový koridor pro cyklisty - V20,2017,298.35001,2022/12/16 00:00:00+00,{18F8FC1B-F6AF-4D00-8EC0-62D8314D899E},0.0040829458963587
351,274,Piktogramový koridor pro cyklisty - V20,2017,199.82001,2022/12/16 00:00:00+00,{B07C511F-812E-490C-A39E-DCEBC2B500E5},0.00273614094382164
352,273,Vyhrazený jízdní pruh pro cyklisty - V14,2017,192.52,2022/12/16 00:00:00+00,{E3EA4016-7485-423F-A940-C350DDD5EA67},0.0026362731233632
353,194,Stezka pro chodce a cyklisty (nedělená) - C9,1997,67.769997,2022/12/16 00:00:00+00,{2C060152-02EC-4BC6-9828-4A9C4718F223},0.000747103842801653
354,271,Piktogramový koridor pro cyklisty - V20,2017,40.369999,2022/12/16 00:00:00+00,{AAE4CAF1-55A0-42DC-9032-DC3CCACE3143},0.000540519554246559
355,270,Vyhrazený jízdní pruh pro cyklisty - V14,2017,211.48,2022/12/16 00:00:00+00,{6FA797BE-D350-4E96-B6D4-0983B0028B9D},0.00283118169626256
356,290,Jízda cyklistů v protisměru (jízdní pruh),2010,72.690002,2022/12/16 00:00:00+00,{33F8252F-FB11-481E-8A98-164C4C501757},0.000816652917941048
357,289,Jízda cyklistů v protisměru (piktogram),2013,76.169998,2022/12/16 00:00:00+00,{6C367D07-76AE-4DBE-986F-ED6E9AB7157B},0.000709494382236186
358,269,Vyhrazený jízdní pruh pro cyklisty - V14,2017,350.12,2022/12/16 00:00:00+00,{58CC9173-41A0-426B-B569-04CE5771B596},0.00469430264066963
359,264,Vyhrazený jízdní pruh pro cyklisty - V14,2017,377.62,2022/12/16 00:00:00+00,{4CD35C4E-B27C-49DB-B9A3-5C7198BF34D3},0.00504722169495775
360,263,Piktogramový koridor pro cyklisty - V20,2017,51.669998,2022/12/16 00:00:00+00,{0336BD57-BA9E-4FD7-96A3-9DF10F91C827},0.000689826393852479
361,262,Piktogramový koridor pro cyklisty - V20,2017,65.449997,2022/12/16 00:00:00+00,{5F67F619-0E54-4B63-A572-53029CD2CF28},0.000873397457556393
362,261,Piktogramový koridor pro cyklisty - V20,2017,31.1,2022/12/16 00:00:00+00,{66D27513-1440-4297-A18B-CC102B166B8B},0.000415315638368611
363,256,Stezka pro chodce a cyklisty (nedělená) - C9,2017,157.24001,2022/12/16 00:00:00+00,{02F5DCC7-7AC6-47DA-B9A9-177208BB21CB},0.00202464482557888
